HorseID,Name,Country,Age,Color,Sex,ImportType,SeasonStakes,TotalStakes,123Starts,StartsPast10,Trainer,Owner,CurrentRating,StartRating,Sire,Dam,DamSire
B041,LUCKY COIN,NZ,3,Brown,Gelding,PPG,61600,61600,0-0-0-5,2,M J Freedman,Lee Ping Kei,43,52,Showcasing,Elusive Rosie,Elusive City
B042,COOL ARMY,NZ,3,Bay,Brown,PPG,0,0,0-0-0-4,1,C Fownes,Fan Tat Yan,45,52,Showcasing,Valderama,Elusive City
B067,FRESH POWER,NZ,4,Bay,Gelding,PPG,173800,173800,0-0-1-7,2,Y S Tsui,Alan Wong Chi Kei & Oscar Wong Wing Lun,48,52,Makfi,Bannisters,Redoute's Choice
B080,SHIMMER AND SHINE,NZ,3,Bay,Gelding,PPG,52800,52800,0-0-0-2,1,A T Millard,Michael N Smith,51,52,Showcasing,Princess Amidala,Don Eduardo
B083,UGLY WARRIOR,NZ,3,Chestnut,Gelding,PPG,2784800,2784800,4-1-0-5,1,Y S Tsui,Just Fantastic Syndicate,87,52,Swiss Ace,Ugly Betty,High Yield
B107,ROMANTIC JOURNEY,AUS,4,Chestnut,Gelding,PP,0,0,0-0-0-6,1,A S Cruz,Alice Ming Bo Ting,56,70,More Than Ready,Perfect Truth,Galileo
B135,LUCKY BABY,NZ,3,Bay,Gelding,PPG,0,0,0-0-0-1,0,D J Hall,Barbarian Syndicate,52,52,Makfi,Make Me Strong,Danehill
B166,GREAT HONOUR,AUS,4,Chestnut,Gelding,PP,0,0,0-0-0-3,1,R Gibson,Wilson Wong Kan Po & Derek Wong Sau Leung,79,82,Sebring,Adonia Queen,Cherokee Run
B181,FIAMA,AUS,4,Bay,Gelding,PP,825300,825300,1-0-0-4,2,M J Freedman,Wei Ruhai,76,71,Makfi,Proud Hussey,Hussonet
B189,HAPPY SEBRING,AUS,3,Bay,Gelding,PPG,30800,30800,0-0-0-1,1,K W Lui,Dr Lawrence Lam Chi Kit,52,52,Sebring,Here de Joy,Dehere
B190,GOLDEN DASH,AUS,3,Bay,Gelding,PPG,1157200,1157200,2-0-1-4,0,C S Shum,Weber Lo Wai Pak,66,52,Snitzel,Aussie Christmas,Johannesburg
B251,LASTING FRIENDSHIP,AUS,4,Bay,Gelding,PP,0,0,0-0-0-2,1,L Ho,Forever Friendship Syndicate,68,70,Commands,Loch Maryanne,General Nediym
B259,LIGHTNING TREASURE,NZ,3,Brown,Gelding,PPG,0,0,0-0-0-1,1,P F Yiu,Chan Tung & Kwan Wah,52,52,Swiss Ace,Authentic Desire,Howbaddouwantit
B273,SUMMER PASSAGE,AUS,3,Bay,Colt,PP,0,0,0-0-0-1,1,P O'Sullivan,Henry Chuang Yueheng,88,88,Snitzel,Subsequent,Encosta de Lago
B304,SEBFIRE,AUS,3,Bay,Gelding,PP,45850,45850,0-0-0-1,1,C Fownes,Winnie Law Wing Yin & Wilson Law Wai Shan,80,80,Sebring,Firemaid,Machiavellian
