HorseID,Rtg,Sire,Pla,RaceDate,Dist,FinishTime,DeclarHorseWt
V105,55,Showcasing,3,2016-10-30,1650,1.42.52,1037
T098,83,Duke Of Marmalade,5,2016-10-30,1650,1.42.13,1195
T436,41,Showcasing,3,2017-10-29,1200,1.10.75,1097
V348,43,Swiss Ace,1,2017-10-29,1200,1.10.59,1014
A418,73,More Than Ready,1,2017-10-29,1200,1.09.89,1079
P310,71,Not A Single Doubt,6,2017-10-29,1200,1.10.49,1140
T280,42,Flying Spur,7,2015-11-08,1200,1.11.26,980
S397,69,Not A Single Doubt,4,2017-10-29,1000,0.57.16,1171
P310,57,Not A Single Doubt,9,2014-11-12,1000,0.58.58,1091
T375,90,Not A Single Doubt,2,2017-10-29,1650,1.40.34,986
T281,52,More Than Ready,1,2016-11-02,1800,1.49.68,1139
A252,96,Not A Single Doubt,1,2017-10-29,1200,1.09.28,1154
V151,89,Commands,3,2017-10-29,1200,1.09.52,1141
V375,38,Makfi,9,2017-11-01,1650,1.41.35,1142
V341,54,More Than Ready,7,2017-11-01,1200,1.10.51,1131
V347,58,Showcasing,2,2016-11-06,1200,1.09.58,1130
M273,56,Flying Spur,2,2011-11-13,1200,1.10.67,1238
V375,52,Makfi,14,2016-11-06,1400,1.23.91,1130
A338,82,Snitzel,12,2017-11-01,1200,1.10.93,1127
T098,82,Duke Of Marmalade,5,2015-11-08,1600,1.34.86,1211
A294,71,Commands,14,2017-11-01,1650,1.41.75,1175
T098,70,Duke Of Marmalade,10,2017-11-01,1650,1.40.29,1233
T281,75,More Than Ready,2,2017-11-01,1650,1.39.23,1125
M273,44,Flying Spur,10,2016-11-06,1000,0.57.95,1244
V306,48,Snitzel,1,2016-11-06,1000,0.57.17,1166
V258,50,Not A Single Doubt,10,2016-11-06,1600,1.36.36,1132
V334,44,Flying Spur,10,2016-11-06,1400,1.23.76,1170
V002,63,Not A Single Doubt,3,2017-11-05,1000,0.57.13,1125
V020,70,Showcasing,6,2016-11-06,1400,1.23.00,1111
T405,56,Commands,5,2017-11-05,1200,1.10.02,1111
V250,54,Duke Of Marmalade,3,2017-11-05,1200,1.09.80,1237
S419,85,Commands,12,2016-11-06,1400,1.24.05,1083
V150,81,Snitzel,3,2016-11-06,1400,1.22.31,1135
A207,59,Not A Single Doubt,11,2017-11-05,1400,1.22.95,1041
A290,52,Makfi,1,2017-11-05,1400,1.22.05,1155
V334,52,Flying Spur,3,2017-11-05,1400,1.22.31,1179
T289,36,Showcasing,5,2016-11-09,1000,0.58.68,1101
A024,89,Sebring,9,2017-11-05,1800,1.46.90,1095
A093,112,More Than Ready,5,2017-11-05,1800,1.46.13,1091
T436,32,Showcasing,6,2016-11-09,1650,1.42.27,1080
V381,75,Sebring,9,2017-11-05,1800,1.48.42,1136
V011,49,Not A Single Doubt,11,2016-11-09,1200,1.11.57,1087
T341,52,Commands,4,2015-11-14,1200,1.10.58,1095
T405,50,Commands,3,2015-11-14,1200,1.10.57,1094
T280,26,Flying Spur,9,2017-11-08,1800,1.52.04,1073
V385,51,Commands,7,2017-11-08,1000,0.57.69,1034
T341,67,Commands,2,2016-11-09,1200,1.10.88,1079
T405,61,Commands,4,2016-11-09,1200,1.10.96,1103
V011,48,Not A Single Doubt,3,2017-11-08,1200,1.10.79,1099
S078,65,Commands,11,2014-11-19,1650,1.42.99,1047
